Posted Date,Reference Number,Payee,Address,Amount
09/26/2019,55432869268200531708306,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
09/25/2019,02305379268000438713268,"CVS/PHARMACY #00213 AUSTIN TX","AUSTIN        TX ",-8.22
09/25/2019,05314619268500143139155,"INSOMNIA COOKIES - CHI CHICAGO IL","CHICAGO       IL ",-21.79
09/25/2019,55436879268732689318301,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-6.16
09/25/2019,55429509268637583040194,"SP * BARKSHOP 8555202275 NY","8555202275    NY ",-23.81
09/23/2019,55310209265083009689995,"AMZN MKTP US AMZN.COM/ AMZN.COM/BILLWA","AMZN.COM/BILL WA ",25.68
09/23/2019,55432869265200856510140,"STARBUCKS 800-782-7282 WA","800-782-7282  WA ",-25.00
09/21/2019,55436879264162644773461,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-5.20
09/20/2019,55431409262630146857381,"UT H&F FOOD SERVICE AUSTIN TX","AUSTIN        TX ",-2.15
09/19/2019,55436879262732629544343,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-5.20
09/19/2019,55436879261262613507859,"ARAMARK CAMPUS STORE AUSTIN TX","AUSTIN        TX ",-3.41
09/19/2019,55431409261630132305743,"UT GEN LIB LCS AUSTIN TX","AUSTIN        TX ",-5.00
09/18/2019,55436879261122618633821,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-2.15
09/18/2019,55432869261200849419494,"SQ *SQ *GONG CHA - DOB Austin TX","Austin        TX ",-10.00
09/18/2019,05410199260091016647148,"TARGET 00032508 AUSTIN TX","AUSTIN        TX ",-9.08
09/17/2019,26086000000740446520788,"CASH REWARDS STATEMENT CREDIT","",46.11
09/17/2019,55436879260152600182538,"ARAMARK SAC CFA AUSTIN TX","AUSTIN        TX ",-1.35
09/17/2019,55429509259717674708734,"BRANDY MELVILLE USA 3104583925 NJ","3104583925    NJ ",-53.50
09/16/2019,55499679258819000362512,"BATH & BODY WORKS 4335 AUSTIN TX","AUSTIN        TX ",-26.30
09/16/2019,55431409258630193098737,"UT GEN LIB LCS AUSTIN TX","AUSTIN        TX ",-6.00
09/16/2019,05140489257740253777813,"H-E-B #425 AUSTIN TX","AUSTIN        TX ",-46.22
09/16/2019,55432869258200340910350,"SQ *SQ *GONG CHA - DOB Austin TX","Austin        TX ",-5.50
